Maladie;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Contexte;Incidence (cas/an);Prévalence;Antécédents
Hernie ombilicale;Nombril déplissé et saillant (2);;;;;;;;;;;;;;
Hernie ombilicale étranglée;Nombril déplissé et saillant (2);Signes du syndrôme occlusif;;;;;;;;;;;;;
Cirrhose;Gros foie (2/1);Angiomes stellaires (10);Rougeur mains/pieds (14/15);Coloration jaune (10);Ongles blancs et volumineux (14);Haleine douceâtre (4);Gros abdomen (2);Veines abdominales (2);;;;;;;Alcool / Hépatite B / Hépatite C / Obésité
Colique hépatique;Douleur abdominale (2/12);;;;;;;;;;;;;;
Cholécystite aigue;Douleur abdominale (2/1/2);Fièvre (1);;;;;;;;;;;;;
Angiocholite;Douleur abdominale (2/1/2);Fièvre (1);Coloration jaune (10);;;;;;;;;;;;
Pancréatite aigue ;Douleur abdominale (2/2);Nausées (2);;;;;;;;;;Alcool;;;Lithiase biliaire
Pancréatite chronique;Douleur abdominale (2/2);Diarrhée chronique (2);Amaigrissement (1);Coloration jaune (10);;;;;;;;Alcool;;;Pancréatite aigue
Hémorroïdes: Thrombose;Douleur anale (11);Tuméfaction anale bleue et dure (11);;;;;;;;;;;;;
Hémorroïdes: Prolapsus;Gêne anale (11);Suintement anal (11);Tuméfaction anale rouge et souple (11);;;;;;;;;;;;
Hemorroïdes: Saignement;Sang sur les selles / Cuvette pendant selles;;;;;;;;;;;;;;
